Word,POS,Pronunciation (IPA),Frequency
Caviar,NN,K AE V IY AA R,2
lemon,NN,L EH M AH N,3
thyme,NN,TH AY M,1
Sticks,NNS,S T IH K S,4
Spices,NNS,S P AY S AH Z,1
Fromage,NN,,2
Guacamole,NN,G W AA K AH M OW L IY,1
Apettite,NNP,,1
Knuckle,NNP,N AH K AH L,1
Herbs,NNS,ER B Z,1
lastly,RB,L AE S T L IY,3
Pory,NN,,1
Roku,NN,,1
Appettite,NNP,,1
Stix,NN,,3
Dip,NN,D IH P,3
Piquant,NN,P IY K AH N T,1
Creamy,NNP,K R IY M IY,1
Wasabi,NN,,1
Piri,NN,,2
cilantro,NN,S IH L AE N T R OW,1
sour,NN,S AW ER,7
vinegar,NN,V IH N AH G ER,4
mesquite,NN,M EH S K IY T,1
jalapeo,NN,,1
hickory,NN,HH IH K ER IY,2
ranch,NN,R AE N CH,9
Au,NN,OW,2
Gratin,NN,,1
pizza,NN,P IY T S AH,5
Masala,NN,,2
deli,NN,D EH L IY,1
ridged,VBN,R IH JH D,2
Tango,NN,T AE NG G OW,12
Cracked,VBN,K R AE K T,1
Sunkissed,VBN,,1
Seaweed,NN,S IY W IY D,3
Spicy,NN,S P AY S IY,4
Seafood,NN,S IY F UW D,9
Mayonnaise,NN,M EY AH N EY Z,2
BarBQ,NN,,2
Balsamic,NNP,,1
Shelled,VBN,SH EH L D,1
Soy,NN,S OY,3
Sauce,NN,S AO S,3
Lobster,NN,L AA B S T ER,1
Yum,NN,Y AH M,2
Paste,NN,P EY S T,3
Refreshing,VBG,R IH F R EH SH IH NG,1
Kiwi,NNP,K IY W IY,2
Blueberry,NNP,B L UW B EH R IY,3
Intense,JJ,IH N T EH N S,1
Stimulating,VBG,S T IH M Y AH L EY T IH NG,1
Numb,NN,N AH M,1
Pot,NN,P AA T,4
Braised,VBN,B R EY Z D,1
Crispy,NN,K R IH S P IY,3
Rib,NN,R IH B,2
Mornay,NN,,1
Shrimp,NN,SH R IH M P,5
Salty,NN,S AO L T IY,3
Indonesianbased,VBN,,1
PT,NN,,11
Indofood,NN,,2
Fritolay,NN,,1
Makmur,NN,,2
CBP,NN,,1
Sukses,NNS,,1
SevenUp,NN,,1
Nederland,NN,N EH D ER L AH N D,5
BV,NN,,5
premerger,NN,,1
Rumi,NN,,1
tomato,NN,T AH M EY T OW,2
kebab,NN,,1
charcoal,NN,CH AA R K OW L,5
chili,NN,CH IH L IY,1
GCC,NN,,1
ChilliLemon,NN,,1
Blend,VB,B L EH N D,1
Forno,NN,,1
Authentic,JJ,AH TH EH N T IH K,2
Nutritional,JJ,N UW T R IH SH AH N AH L,2
vitamins,NNS,V AY T AH M AH N Z,4
oneounce,NN,,1
gram,NN,G R AE M,6
Calories,NNS,K AE L ER IY Z,4
saturated,VBN,S AE CH ER EY T AH D,11
Kettlecooked,VBN,,1
calories,NNS,K AE L ER IY Z,2
halfgram,NN,,1
ounce,NN,AW N S,3
servings,NNS,S ER V IH NG Z,3
hydrogenated,VBN,HH AY D R AH JH AH N EY T IH D,1
sunflower,NN,S AH N F L AW ER,2
cheddar,NN,CH EH D ER,3
1553514,CD,,1
Sannieshof,NN,,1
postmaster,NN,P OW S T M AE S T ER,3
Voorendijk,NN,,2
Sannie,NN,,2
Baberspan,NN,,1
sanctuary,NN,S AE NG K CH UW EH R IY,14
mecca,NN,M EH K AH,2
Delareyville,NNP,,1
Ottosdal,NN,,1
Lichtenburg,NN,,1
1555514,CD,,1
YBAs,NN,,1
painterly,RB,P EY N T ER L IY,1
morphs,NN,M AO R F S,2
Watford,NN,W AO T F ER D,7
Goldsmiths,NNS,,3
198386,CD,,4
Solo,NN,S OW L OW,12
Cohan,NN,K OW HH AH N,5
Concentration,NN,K AA N S AH N T R EY SH AH N,2
brochure,NN,B R OW SH UH R,2
Weaver,WRB,W IY V ER,11
dOffay,NN,,4
Motocrosser,NN,,1
Greenberg,NNP,G R IY N B ER G,3
Doren,NNS,D AO R AH N,2
Pixel,NN,P IH K S AH L,1
Stellan,NN,,1
Holm,NN,HH OW M,1
Kunstmuseum,NN,,2
Wolfsburg,NN,W UH L F S B ER G,2
Inaurgral,JJ,,1
Contemoporanio,NN,,1
Internacional,JJ,IH N T ER N AE SH AH N AH L,4
Moderno,NN,,6
Impulse,JJ,IH M P AH L S,1
Marianne,NN,M EH R IY AE N,4
Boesky,NN,B OW S K IY,1
RealityContemporary,JJ,,1
Norton,NN,N AO R T AH N,35
curated,VBN,,2
Jeanne,NN,JH IY N,41
GreenbergRohaytn,NN,,1
Stedelijk,NN,,1
voor,NN,,1
Actuele,NNS,,1
Kunst,NNP,K AH N S T,1
SMAK,NN,,1
Negotiating,VBG,N IH G OW SH IY EY T IH NG,1
Truths,NNS,T R UW TH S,4
Blanton,NNP,B L AE N T AH N,1
Kunstverein,NNP,,3
Rheinlande,NN,,2
Westfalen,NNP,,2
Raimund,NN,,2
Stecker,NN,S T EH K ER,2
Kendal,NNP,K EH N D AH L,2
Hatton,NNP,HH AE T AH N,5
Ferens,NNS,,1
Shone,NN,SH OW N,4
Removed,VBN,R IY M UW V D,2
Rubinstein,NN,R UW B IH N S T IY N,3
Schjeldahl,NN,,2
False,JJ,F AO L S,2
Impressions,NNS,IH M P R EH SH AH N Z,5
Alison,NN,AE L IH S AH N,7
Jaques,NNS,JH AE K S,5
Ophiuchius,NN,,1
Pictura,NN,,1
MoCA,NN,M OW K AH,1
Bernice,NN,B ER N IY S,2
Saatchi,NN,S AA CH IY,3
Hamburger,NN,HH AE M B ER G ER,4
Bahnhof,NN,,2
Gegenwart,NN,,2
MoMA,NN,M OW M AH,5
Fruitmarket,NN,,1
Purchases,NNS,P ER CH AH S AH Z,2
Hayward,NN,HH EY W ER D,5
Walsall,NN,,6
Mappin,NN,,1
Arnolfini,NNP,,3
Answered,NNP,AE N S ER D,1
Prayers,NNS,P R EH R Z,4
Sammlung,NN,,2
Volkmann,NN,V OW L K M AH N,1
Zeigt,NN,,1
Faustrecht,NN,,1
Freiheit,NN,F R AY HH AY T,1
Kunstsammlung,NNP,,2
Gera,NN,JH EH R AH,2
Neues,NNS,,2
Weserburg,NN,,1
Freeze,NN,F R IY Z,3
Docks,NNS,D AA K S,4
Kamps,NNS,K AE M P S,1
Toby,NN,T OW B IY,15
Strick,NN,S T R IH K,1
Ridinghouse,NN,,1
Gemma,NN,JH EH M AH,4
Assouline,NN,,1
Reality,NN,R IY AE L AH T IY,9
Pagel,NN,P AE G AH L,1
Platonic,NN,P L AH T AA N IH K,1
Tropics,NNS,T R AA P IH K S,1
Introductory,NN,IH N T R AH D AH K T ER IY,3
Tema,NN,,2
Celeste,NN,S AH L EH S T,3
Jeffe,NN,JH EH F,1
Jeffet,NN,,1
Richared,VBN,,1
Artlies,NNS,,1
McCabe,NN,M AH K EY B,5
Lens,NNS,L EH N Z,2
Crafter,NN,,1
Vol7,NN,,1
2229,CD,,1
Arning,VBG,,1
Actuel,NN,,1
Pollack,NN,P AA L AH K,1
ARTnews,NNS,,1
Ebony,NN,EH B AH N IY,3
Artnetcom,NN,,2
Gotham,NNP,G AA TH AH M,12
Dispatch,NN,D IH S P AE CH,2
Newhall,NN,N UW HH AO L,1
Rabble,JJ,R AE B AH L,1
Rousing,VBG,R AW Z IH NG,1
Vogue,NN,V OW G,9
Gianmarco,NN,,1
Artforum,NN,,1
Maloney,NN,M AH L OW N IY,6
Pattersons,NNS,,1
Minotaur,NN,,4
Coomer,NN,K UW M ER,2
Lambeth,NNP,L AE M B IH TH,1
Fashion,NN,F AE SH AH N,8
Parade,NN,P ER EY D,20
Spectator,NN,S P EH K T EY T ER,2
Hilton,NNP,HH IH L T AH N,13
Beholder,NN,B IY HH OW L D ER,1
Paint,NN,P EY N T,8
bandwagon,NN,B AE N D W AE G AH N,2
Linton,NNP,L IH N T AH N,3
Wannabe,NN,W AA N AH B IY,1
Gerhard,NNP,G ER HH AA R D,4
Richter,NN,R IH K T ER,5
Bulloch,NN,B UH L AH K,1
Craddock,NN,K R AE D AH K,2
Sacha,NN,S AE CH AH,4
Dockland,NN,D AA K L AH N D,1
SFMoMA,NN,,1
1560514,CD,,1
Jafar,NN,,8
Tammam,NN,,1
alSiddiq,NN,,1
AlBaghdadi,NN,,1
835912,CD,,1
Hametus,NN,,1
Damascus,NN,D AH M AE S K AH S,11
839,CD,,5
alMisri,NN,,1
Astronomy,NN,AH S T R AA N AH M IY,5
astronomical,JJ,AE S T R AH N AA M IH K AH L,21
Gherard,NNP,,1
Euclid,NNS,Y UW K L IH D,3
Elements,NNS,EH L AH M AH N T S,2
Fibonacci,NN,F IH B AH N AA CH IY,5
arcs,NN,AA R K S,2
Karpos,NNP,,1
Centiloquium,NN,,1
astrolabe,NN,,2
Liber,NNP,,11
Abaci,NN,,1
Bradwardine,NN,,1
Jordanus,NN,,1
Nemore,RB,,1
Luca,NN,L UW K AH,3
Pacioli,NN,,1
1568514,CD,,1
Xiuyan,NN,,1
Tianjin,NN,T IY AE N JH IH N,5
Qinghai,NN,,2
LeagueAfter,NN,,1
Gu,NN,G UW,4
Xiulian,JJ,,1
Jiangsu,NN,JH Y AA NG S UW,4
CPC,NN,,5
1569514,CD,,1
Trummer,NN,,1
Fergus,NN,F ER G AH S,1
1575514,CD,,1
Everdon,NN,,2
Lying,VBG,L AY IH NG,1
Nene,NN,N IY N,2
1581514,CD,,1
Persuasions,NNS,P ER S W EY ZH AH N Z,14
nonsecular,JJ,,1
gospel,NN,G AA S P AH L,7
Grateful,JJ,G R EY T F AH L,5
Joni,NN,JH OW N IY,4
Minnelli,NNP,M IH N EH L IY,1
McLean,NN,M AH K L IY N,8
Pena,NN,P EH N AH,1
Oom,NN,,2
Mow,NN,M OW,4
ET,NN,EH T,5
ExtraTerrestrial,JJ,EH K S T R AH T ER EH S T R IY AH L,1
Acappella,NN,,2
Catamount,NN,K AE T AH M AW N T,2
Rip,NN,R IH P,2
Rense,NN,,1
Frankly,RB,F R AE NG K L IY,4
Cappella,NN,K AA P EH L AH,11
Earthbeat,NN,,1
Chesky,NN,,3
developmentally,RB,D IH V EH L AH P M EH N AH L IY,1
postPersuasions,NNS,,1
SingOff,NN,,1
Conley,NN,K AA N L IY,2
Rockapella,NN,,1
Nylons,NNS,N AY L AA N Z,1
Boyz,NN,B OY Z,3
Hummingbirds,NNS,HH AH M IH NG B ER D Z,1
Clouds,NNS,K L AW D Z,5
Joy,NN,JH OY,17
Stirrers,NNS,,1
greats,NNS,G R EY T S,5
speaks,NNS,S P IY K S,18
Ricks,NNS,R IH K S,1
Rix,NN,R IH K S,1
Jayotis,NN,,1
Sanders,NNS,S AE N D ER Z,16
Temptations,NNS,T EH M T EY SH AH N Z,1
Hibbler,NN,HH IH B L ER,1
RepriseStraight,NN,,1
Enigma,NN,IH N IH G M AH,4
Retro,NNP,R EH T R OW,1
Collectables,NNS,,6
Corner,NN,K AO R N ER,5
Spread,NN,S P R EH D,1
MCA,NNP,,13
Chirpin,NN,,1
Comin,NN,,2
Ya,NN,Y AA,16
RounderFlying,VBG,,2
Rounder,NN,R AW N D ER,4
Frills,NNS,F R IH L Z,1
Stardust,NN,S T AA R D AH S T,9
Relic,JJ,R EH L IH K,2
Whispering,VBG,W IH S P ER IH NG,3
Tobo,NN,,1
Sailors,NNS,S EY L ER Z,1
Shoes,NNS,SH UW Z,7
Ned,NN,N EH D,10
Sublette,NN,,2
Weiner,NN,W AY N ER,2
QbadiscExcellent,NN,,2
Right,RB,R AY T,50
RounderBullseye,NN,,3
EMI,NN,,13
197072,CD,,2
Lollipop,NN,L AA L IY P AA P,1
RhinoKid,NN,,1
RhinoMusic,JJ,,1
RhinoEarthBeat,NN,,1
AristaGrateful,JJ,,1
Basics,NNS,B EY S IH K S,3
Recordings,NNS,R IH K AO R D IH NG Z,14
197986,CD,,2
FishBullseye,NN,,1
Nonalbum,NN,,1
Minit,NN,M IH N IH T,1
Darlin,NN,D AA R L IH N,3
unissued,JJ,AH N IH SH UW D,1
Mance,NN,M AE N S,1
Monsters,NNS,M AA N S T ER Z,8
1583514,CD,,1
Pasichigare,NN,,1
Magunda,NN,,1
Mangwende,NN,,2
Zimbabwean,JJ,Z IH M B AA B W IY AH N,1
ZanuPF,NN,,1
1589514,CD,,1
Proclaimers,NNS,,7
Sunshine,NN,S AH N SH AY N,16
ARIA,NN,AA R IY AH,13
Joon,NN,JH UW N,4
Push,NN,P UH SH,1
Murrayfield,NN,,1
symbolise,NN,,1
Easter,NN,IY S T ER,18
Hibernian,JJ,,1
Hibs,NN,,2
darts,NNS,D AA R T S,3
comedians,NNS,K AH M IY D IY AH N Z,1
Chipmunks,NNS,,4
hailing,VBG,HH EY L IH NG,3
Retevisin,NN,,1
Fiero,NN,F IY R OW,1
cassette,NN,K AH S EH T,8
Commentary,NN,K AA M AH N T EH R IY,8
gag,NN,G AE G,5
flashmob,NN,,1
Bachelorette,NN,,1
Identity,NN,AY D EH N T AH T IY,3
Jury,NN,JH UH R IY,14
Guetta,NN,,8
Titanium,NN,T AY T EY N IY AH M,3
Perfect,NN,P ER F EH K T,22
Munroe,NN,M AH N R OW,1
766,CD,,3
Kiss,VB,K IH S,18
Uh,NN,AH,1
Receives,NNS,R AH S IY V Z,3
Stewie,NN,,9
scatting,VBG,,1
lat,NN,L AA T,5
shoves,NNS,SH AH V Z,2
Ralf,NN,R AA L F,6
Nave,VB,N EY V,2
Teardrops,NNS,,3
340870,CD,,1
Pipkin,NNP,P IH P K IH N,2
wheelchairs,NNS,W IY L CH EH R Z,1
126000,CD,,1
Aloud,NN,AH L AW D,7
Sugababes,NNS,,1
biggestselling,NN,,1
clip,NN,K L IH P,9
Walliams,NNS,,2
Beckham,NNP,B EH K HH AE M,2
Dusty,NN,D AH S T IY,7
Bin,NN,B IH N,12
Boardman,NNP,B AO R D M AH N,2
Brush,NN,B R AH SH,2
Fizz,NN,F IH Z,1
Carolgees,NNS,,1
Carrott,NN,,1
Chegwin,NN,,2
Tess,NN,T EH S,1
Daly,NN,D EY L IY,14
Davro,NN,,1
Decker,NN,D EH K ER,1
Lesley,NNP,L EH S L IY,5
Grogan,NNP,G R OW G AH N,1
Siobhan,NN,SH AW B AA N,3
Holby,NN,,4
Krankies,NNS,,1
Kwouk,NNP,,1
Vell,NNP,,2
Limahl,NN,,1
Nutkins,NNS,,1
Oddie,NN,,1
OGrady,NN,OW G R EY D IY,5
Postman,NN,P OW S T M AH N,2
Wendi,NN,,1
Rupert,NN,R UW P ER T,8
Showaddywaddy,NN,,1
Quo,NN,K W OW,1
Sidebottom,NN,,1
Thorne,NN,TH AO R N,3
Waterman,NN,W AO T ER M AH N,4
Lizzie,NN,L IH Z IY,4
Whittaker,NN,W IH T AH K ER,4
Wilmot,NN,W IH L M AH T,1
Osama,NN,OW S AA M AH,3
Laden,NNP,L EY D AH N,11
Shergar,NN,,1
1596514,CD,,1
Pandolfini,NN,,14
USCF,NN,,1
Especially,RB,AH S P EH SH L IY,6
novice,NN,N AA V AH S,2
Reinfeld,NN,,1
Horowitz,NN,HH AO R OW IH T S,2
innovations,NNS,IH N AH V EY SH AH N Z,9
instructional,JJ,IH N S T R AH K SH AH N AH L,3
diagram,NN,D AY AH G R AE M,2
diagrams,NNS,D AY AH G R AE M Z,5
orient,NN,AO R IY EH N T,1
summarizing,VBG,S AH M ER AY Z IH NG,2
Chess,NN,CH EH S,45
Kasparov,NNP,K AE S P ER AA V,13
freshness,NN,F R EH SH N AH S,1
Winning,VBG,W IH N IH NG,7
Tactics,NNS,T AE K T IH K S,8
Kingsley,NNP,K IH NG Z L IY,17
Searching,VBG,S ER CH IH NG,2
Waitzkin,NNP,W EY T S K IH N,2
Caruana,NNP,K AA R UW AE N AH,1
Grandmaster,NN,G R AE N D M AE S T ER,5
Sarwer,NN,,1
Under10,NN,,1
easygoing,VBG,IY Z IY G OW IH NG,1
attitudea,NN,,1
tutorials,NNS,T UW T AO R IY AH L Z,1
Solitaire,NN,S AA L AH T EH R,3
Chessmaster,NN,,1
tutorial,NN,T UW T AO R IY AH L,4
positioning,VBG,P AH Z IH SH AH N IH NG,5
endgame,NN,EH N D G EY M,2
ABCs,NN,,1
Invaluable,JJ,IH N V AE L Y AH B AH L,1
Players,NNS,P L EY ER Z,35
Levels,NNS,L EH V AH L Z,11
Principles,NNS,P R IH N S AH P AH L Z,14
Superb,NN,S UH P ER B,2
Drill,VB,D R IH L,5
Parents,NNS,P EH R AH N T S,5
Outrageous,JJ,AW T R EY JH AH S,2
Moves,NNS,M UW V Z,2
Surefire,NN,,1
Openings,NNS,OW P AH N IH NG Z,2
Traps,NNS,T R AE P S,2
Zaps,NNS,Z AE P S,2
Chessercizes,NNS,,2
Checkmates,NNS,CH EH K M EY T S,1
Match,NN,M AE CH,13
Thinks,NNS,TH IH NG K S,1
Chooses,NNS,CH UW Z AH Z,1
OneMove,VB,,1
Endgames,NNS,EH N D G EY M Z,1
Ultimate,NN,AH L T AH M AH T,25
Mates,NNS,M EY T S,1
Checkmating,VBG,,1
Omnibus,NN,AA M N AH B AH S,2
1597514,CD,,1
McQuail,NN,,15
adamant,NN,AE D AH M AH N T,3
ASCoR,NN,,1
Sven,RB,S V EH N,24
Windahl,NN,,2
Lasswell,NNP,L AE S W EH L,1
Gerbner,NN,,1
enlargement,NN,IH N L AA R JH M AH N T,1
clarification,NN,K L EH R AH F AH K EY SH AH N,2
fragmenting,VBG,F R AE G M AH N T IH NG,1
socialcultural,JJ,,1
Vital,JJ,V AY T AH L,2
spreading,VBG,S P R EH D IH NG,11
classifications,NNS,K L AE S AH F AH K EY SH AH N Z,4
McQuails,NNS,,2
underestimated,JJ,AH N D ER EH S T AH M EY T IH D,3
surrounds,NNS,S ER AW N D Z,4
confuses,NNS,K AH N F Y UW Z IH Z,2
Mcquail,NN,,1
Siune,NN,,1
Euromedia,NNP,,1
convergence,NN,K AH N V ER JH AH N S,4
1598514,CD,,1
Chiswick,NN,CH IH Z W IH K,2
baker,NN,B EY K ER,2
Oroonoko,NN,,1
Drury,NN,D R UW R IY,8
Susanna,NN,S UW Z AE N AH,1
Cibber,NNP,,2
Garrick,NNP,G EH R IH K,2
Florizel,NN,,1
eulogistic,JJ,,1
epitaph,NN,EH P AH T AE F,3
17681849,CD,,1
Siddons,NNS,S IH D AH N Z,1
Kean,VB,K IY N,3
smallpox,NN,S M AO L P AA K S,1
betrothal,NN,,1
Attribution,NN,AE T R IH B Y UW SH AH N,2
1614514,CD,,1
Tara,NN,T EH R AH,16
Brooch,NN,B R UW CH,3
brooch,NN,B R UW CH,11
brooches,NNS,,6
Insular,JJ,IH N S AH L ER,1
seveninch,NN,,1
pseudopenannular,NN,,2
silvergilt,NN,,3
interlace,NN,IH N T ER L EY S,1
trays,NNS,T R EY Z,4
filigree,NN,F IH L AH G R IY,1
inlaying,VBG,,2
exemplify,VB,IH G Z EH M P L AH F AY,4
goldsmithing,VBG,,1
spectacular,NN,S P EH K T AE K Y AH L ER,11
highstatus,NN,,2
Precious,JJ,P R EH SH AH S,2
semiprecious,JJ,S EH M IY P R EH SH AH S,1
Laytown,JJ,,1
finder,NN,F AY N D ER,1
jeweller,NN,,1
Waterhouse,IN,W AO T ER HH AW S,6
fashionable,JJ,F AE SH AH N AH B AH L,16
superbly,RB,S UW P ER B L IY,1
replicas,NN,R EH P L AH K AH Z,2
exhibiting,VBG,IH G Z IH B IH T IH NG,6
1619514,CD,,1
DouglasHamilton,NN,,7
Selkirk,NN,S EH L K ER K,14
Lothians,NNS,,1
Eton,NN,IY T AH N,6
Balliol,NN,,7
Procurator,NN,,3
Fiscal,JJ,F IH S K AH L,3
Counsellor,NN,K AW N S AH L ER,2
Sovereigns,NNS,S AA V R AH N Z,1
disclaimed,VBN,D IH S K L EY M D,2
wafer,NN,W EY F ER,1
disclaim,NN,D IH S K L EY M,1
Cramond,NN,,1
Convener,NN,,1
20032007,CD,,5
Motive,NN,M OW T IH V,5
Rudolf,NN,R UW D AA L F,13
19421974,CD,,1
19741996,CD,,1
Rt,NN,,10
19961997,CD,,11
19971999,CD,,4
MSP,NN,,1
19992007,CD,,1
Buchan,NNP,B AH K AH N,13
Johnnie,NNP,JH AA N IY,4
Tweedsmuir,NN,,2
peeress,NN,,1
Daer,NN,,1
Earldom,NN,ER L D AH M,1
Dukedom,NN,D UW K D AH M,1
Ancestry,NN,AE N S EH S T R IY,7
Devolution,NN,D EH V AH L UW SH AH N,1
1621514,CD,,1
Lunar,NN,L UW N ER,8
Galileo,NN,G AE L AH L IY OW,18
1609,CD,,8
eruptions,NNS,IH R AH P SH AH N Z,1
blasting,NN,B L AE S T IH NG,3
meteoric,NN,M IY T IY AO R IH K,3
Welteislehre,NN,,1
glacial,JJ,G L EY SH AH L,2
unmanned,JJ,AH N M AE N D,14
meteoroid,NN,,2
maria,NNS,M ER IY AH,1
Craters,NNS,K R EY T ER Z,1
ejected,VBN,IH JH EH K T IH D,3
downwardsloping,VBG,,1
Leif,NN,L IY F,3
Andersson,NN,AE N D ER S AH N,7
Planetary,JJ,P L AE N AH T EH R IY,4
albategnius,NN,,1
craterjpg,NN,,4
Albategnius,NN,,1
aristarchus,RB,,1
Aristarchus,RB,,4
aristoteles,NNS,,1
Aristoteles,NNS,,1
bailly,RB,B EY L IY,1
Bailly,RB,B EY L IY,1
claviusjpg,NN,,1
Clavius,NN,,1
copernicusjpg,NN,,1
Copernicus,NN,K AH P ER N AH K AH S,2
maurojpg,NN,,1
Fra,NN,,3
Mauro,NN,M AO R OW,9
humboldtjpg,NN,,1
janssenjpg,NN,,1
langrenusjpg,NN,,1
Langrenus,NN,,1
longomontanusjpg,NN,,1
Longomontanus,NN,,1
maginusjpg,NN,,1
Maginus,NN,,1
metiusjpg,NN,,1
Metius,NN,,1
moretusjpg,NN,,1
Moretus,NN,,1
petaviusjpg,NN,,1
Petavius,NN,,1
picardjpg,NN,,1
Picard,NN,P IH K AA R D,1
piccolominijpg,NN,,1
Piccolomini,NN,,2
pitatusjpg,NN,,1
Pitatus,NN,,1
pliniusjpg,NN,,1
Plinius,NN,P L IH N IY AH S,1
rheitajpg,NN,,1
Rheita,NNP,,1
russelljpg,NN,,1
schickardjpg,NN,,1
stadiusjpg,NN,,1
Stadius,NN,,1
stoflerjpg,NN,,1
Stfler,NN,,1
thebitjpg,NN,,1
Thebit,NN,,1
theophilusjpg,NN,,1
Theophilus,NN,,2
Lage,NN,L EY JH,1
Mondkraters,NNS,,1
Tychojpg,NN,,1
Tycho,NN,,3
vendelinusjpg,NN,,1
Vendelinus,NN,,1
wargentinjpg,NN,,1
Wargentin,NN,,1
1629514,CD,,1
517179,CD,,1
SaynAltenkirchen,NN,,2
RhinelandPalatinate,NN,,9
Sieg,NN,S IY G,1
SaynWittgensteinSayn,NN,,1
Princesses,NNS,P R IH N S EH S IH Z,2
Ernestine,NN,ER N IH S T IY N,5
Johanette,NN,,7
granddaughters,NNS,G R AE N D AO T ER Z,3
517216,CD,,1
SaynHachenburg,NN,,1
517246,CD,,1
Counties,NNS,K AW N T IY Z,26
1652,CD,,3
SaxeEisenach,NN,,3
childless,NN,CH AY L D L AH S,7
greatgrandson,NN,,3
517283,CD,,1
mediatised,VBN,,1
NassauWeilburg,NN,,2
517320,CD,,1
16481803,CD,,1
16481701,CD,,1
164852,CD,,1
170141,CD,,1
Burgrave,VB,,2
17411803,CD,,1
Mediatised,VBN,,1
1634514,CD,,1
officialname,NN,,1
Monywa,NN,,20
Sagaing,VBG,,2
Mandalay,NN,M AE N D AH L EY,3
Chindwin,NN,,5
savanna,NN,S AH V AE N AH,1
Aw,NN,AO,1
Temperatures,NNS,T EH M P R AH CH ER Z,2
DecemberFebruary,JJ,,1
premonsoon,NN,,1
NovemberApril,NN,,1
MayOctober,NNP,,1
224115,CD,,1
MandalayBudalin,NN,,1
Budalin,NNP,,2
Myitkyina,NNP,,3
640km,CD,,1
Hkamti,NN,,1
Homalin,NN,,1
jaggery,NN,,1
noodles,NNS,N UW D AH L Z,1
Sausages,NNS,S AO S IH JH IH Z,1
Alon,NN,AH L AA N,3
udaunk,NN,,1
longyi,NN,,1
sarong,NN,S ER AO NG,2
blankets,NNS,B L AE NG K AH T S,3
sewn,NN,S OW N,4
knapsacks,NNS,,1
unsuspecting,VBG,AH N S AH S P EH K T IH NG,1
reed,NN,R IY D,2
bullock,NN,B UH L AH K,1
implements,NNS,IH M P L AH M AH N T S,5
Kyaukka,NNP,,1
saris,NN,S AA R IY Z,1
Mohnyin,NN,,1
Thambuddhei,NN,,1
Paya,NN,,2
stupa,NN,S T UW P AH,1
Borobudur,NN,,1
1303,CD,,1
Bodhi,NNP,,3
Tataung,NN,,2
Laykyun,NN,,1
Setkyar,NN,,1
secondtallest,NN,,2
sprawling,VBG,S P R AO L IH NG,3
bodhi,NN,,1
pagodas,NNS,P AH G OW D AH Z,1
sayadaw,NN,,1
95metre,CD,,1
Phowintaung,NN,,1
insurgent,NN,IH N S ER JH AH N T,2
BCP,NN,,2
1635514,CD,,1
Midwinter,NN,M IH D W IH N T ER,2
zimske,NN,,1
noci,NN,,1
Paskaljevic,NN,,1
autistic,JJ,AO T IH S T IH K,2
1641514,CD,,1
Lochner,NN,L AA K N ER,21
1451,CD,,8
Altar,NN,AO L T ER,7
Patrons,NNS,P EY T R AH N Z,4
triptych,NN,T R IH P T IH K,2
1440s,NNS,,2
esteem,NN,AH S T IY M,7
weicher,NN,,1
virtuoso,NN,V ER CH UW OW S OW,4
textures,NNS,T EH K S CH ER Z,5
Schlegel,NN,SH L EY G AH L,5
sweetness,NN,S W IY T N AH S,1
Flemishinfluenced,NNP,,1
fanciful,JJ,F AE N S IH F AH L,2
deceptions,NNS,D IH S EH P SH AH N Z,1
Magi,NN,M EY JH AY,3
altarpiece,NN,AO L T ER P IY S,6
Meersburg,NN,,2
Georg,NN,G EY AO R G,28
Alhet,NN,,1
Rogier,NN,R OW G IY ER,7
Weyden,NNP,,7
1442,CD,,4
Maister,NN,,5
Steffan,NN,S T EH F AH N,4
Lysbeth,NNP,,1
1444,CD,,2
Alban,NN,AA L B AH N,3
remortgage,NN,,1
Bhmer,NN,,2
attribution,NN,AE T R IH B Y UW SH AH N,4
diary,JJ,D AY ER IY,15
authentically,RB,AO TH EH N T IH K L IY,2
idealised,VBN,,1
facial,JJ,F EY SH AH L,13
portraiture,NN,,1
esdically,RB,,1
foreheads,NNS,F AO R HH EH D Z,3
noses,NNS,N OW Z IH Z,2
chins,NNS,,1
tucked,NNS,T AH K T,3
blond,NN,B L AA N D,3
curls,NNS,K ER L Z,1
polyptychs,NN,,1
Presentation,NN,P R EH Z AH N T EY SH AH N,7
Calouste,NN,,7
Gulbenkian,JJ,,7
1445,CD,,4
Hessisches,NNS,,3
Landesmuseum,NN,,4
WallrafRichartz,NN,,3
Judgement,NN,JH AH JH M AH N T,4
c1450,NN,,1
Musee,NN,M Y UW Z IY,2
44175,CD,,1
jpgLeft,NN,,1
144015,CD,,2
jpgCenter,NN,,1
jpgRight,NN,,1
Alte,NN,,3
Pinakothek,NN,,2
Madeleinejpg,NN,,1
Magdalen,NNP,M AE G D AH L AH N,3
diptych,NN,,2
144850,CD,,1
Boijmans,NNS,,1
Beuningen,NN,,1
Rotterdam,NN,R AA T ER D AE M,16
WGA13348jpgDetail,NN,,1
Hll,NN,,1
Katharina,NNP,K AE TH EH R IY N AH,5
Hubertus,NN,,2
Quirinus,NN,,2
Weltgerichtsaltar,NN,,1
jpeg,NN,,1
Sts,NN,,1
WGA13350jpg,NN,,1
144550,CD,,5
WGA13347jpg,NN,,1
007,CD,,2
1448,CD,,3
1643514,CD,,1
Completed,VBN,K AH M P L IY T AH D,4
onemovement,NN,,2
tempi,NN,,1
